point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9,point 10,point 11,point 12,point 13,point 14,point 15,point 16,point 17,point 18,point 19,point 20,bookname
5.329494448,5.346208363,5.362567919,5.422070635,5.40311245,5.40559296,5.404500354,5.440497283,5.369655091,5.376742263,5.388258918,5.363424285,5.36212497,5.295476022,5.310949681,5.299137727,5.293054571,5.29340893,5.313164422,0.634420033,King solomon's mines by h. rider haggard   free ebook
5.438382692,5.424061464,5.416711702,5.371081928,5.375738579,5.316625234,5.238020608,5.293017726,5.346744848,5.409271869,5.42989804,5.414243767,5.420881971,5.445678412,5.392095403,5.374261421,5.423800259,5.48623721,5.405822165,0.293017726,"Evelina, or, the history of a young lady's entrance into the world by fanny burney   free ebook"
5.313664056,5.326283725,5.328024369,5.319930374,5.319843342,5.313315927,5.328198433,5.321409922,5.316971279,5.357180157,5.352306353,5.348389904,5.342384682,5.334116623,5.33124456,5.369712794,5.381288077,5.404438642,5.414882507,0.721409922,The call of the wild by jack london   free ebook
5.434704733,5.374330583,5.405539876,5.43591692,5.426128962,5.516500217,5.563142278,5.510222174,5.434053409,5.346830221,5.402988855,5.470744681,5.37322695,5.337512665,5.40758431,5.416919959,5.467488059,5.540291649,5.48525474,0.392386742,The story of mankind by hendrik willem van loon   free ebook
5.229177049,5.234675571,5.210704675,5.256669657,5.296388584,5.280723612,5.280690388,5.270806339,5.258015216,5.276686933,5.281138908,5.299295658,5.31819994,5.305558324,5.299279046,5.290906675,5.265341041,5.250506661,5.236519486,0.701767501,The mystery of the yellow room by gaston leroux   free ebook
5.455160359,5.486978771,5.456680347,5.355195825,5.298778943,5.258499265,5.271799159,5.295637635,5.31874145,5.349698536,5.370649035,5.381972944,5.343821249,5.346126564,5.314080154,5.314865481,5.358666464,5.356766479,5.395804834,0.528069109,The voyages of doctor dolittle by hugh lofting   free ebook
5.42458201,5.426619524,5.409899922,5.376940133,5.367351831,5.388625876,5.382153772,5.361658776,5.35290945,5.315395218,5.31863127,5.33750824,5.365014682,5.41301612,5.419787859,5.438604902,5.457362018,5.487744951,5.492419249,1.61664769,Dialogues concerning natural religion by david hume   free ebook
5.402619048,5.420904762,5.413047619,5.384285714,5.420047619,5.430571429,5.396380952,5.369047619,5.327857143,5.315142857,5.287761905,5.292142857,5.27052381,5.248619048,5.233619048,5.252285714,5.292904762,5.327,5.349095238,0.213761905,"Tom swift and his motor cycle; or, fun and adventures on the road by appleton   free ebook"
5.36998966,5.402469436,5.40733532,5.414755793,5.404902378,5.432881212,5.462441457,5.439085214,5.437199684,5.458731221,5.461346633,5.439146037,5.425582385,5.421324737,5.421446384,5.390061432,5.401131318,5.433550271,5.434036859,1.058147315,The antichrist by friedrich wilhelm nietzsche   free ebook
5.272404754,5.293126045,5.30783658,5.341415465,5.381366656,5.360057848,5.350183034,5.271500881,5.269150811,5.252700321,5.23240837,5.294753017,5.311474669,5.341212094,5.343291002,5.301554662,5.306028834,5.319496543,5.297735798,0.828603064,Jungle tales of tarzan by edgar rice burroughs   free ebook
